rank	word	count
1	consciousness	2007
2	one	1050
3	mental	742
4	object	715
5	mind	664
6	types	634
7	four	577
8	cittas	577
9	sense	547
10	material	530
11	there	530
12	two	506
13	three	488
14	states	485
15	five	455
16	matter	441
17	kamma	431
18	abhidhamma	387
19	called	381
20	only	367
21	arise	366
22	factors	353
23	feeling	331
24	because	329
25	sphere	327
26	first	325
27	citta	324
28	knowledge	320
29	door	318
30	condition	301
31	ti	298
32	body	296
33	accompanied	295
34	thus	290
35	life	287
36	phenomena	286
37	process	280
38	path	280
39	according	275
40	means	274
41	moment	268
42	way	263
43	thought	253
44	pa	252
45	objects	246
46	born	242
47	arises	238
48	etc	233
49	eva	226
50	non	224
