rank	word	count
1	one	10299
2	buddha	8453
3	there	7287
4	mendicant	6252
5	mind	5841
6	mendicants	5190
7	said	5115
8	right	4128
9	time	3248
10	teaching	3238
11	like	3203
12	sir	3200
13	good	3195
14	body	3179
15	suffering	3165
16	life	3102
17	things	2965
18	way	2953
19	four	2946
20	five	2879
21	world	2642
22	qualities	2595
23	noble	2504
24	say	2405
25	realized	2343
26	consciousness	2303
27	see	2280
28	three	2257
29	well	2217
30	why	2157
31	person	2113
32	death	2083
33	gods	2074
34	perception	2021
35	practice	2009
36	understand	1939
37	bad	1853
38	immersion	1849
39	down	1847
40	can	1800
41	venerable	1795
42	away	1795
43	reborn	1790
44	someone	1782
45	worthy	1771
46	view	1770
47	feeling	1767
48	wisdom	1764
49	go	1763
50	cessation	1752
