rank	word	count
1	one	14111
2	monks	8552
3	there	8502
4	monk	7648
5	buddha	4834
6	commits	4817
7	sangha	4789
8	entailing	4354
9	legal	3431
10	wrong	3352
11	conduct	3315
12	robe	3304
13	time	3241
14	said	3132
15	down	2700
16	rule	2693
17	procedure	2691
18	two	2606
19	three	2477
20	king	2470
21	having	2276
22	training	2258
23	see	2242
24	nuns	2216
25	monastery	2193
26	confession	2178
27	blessed	2121
28	nun	2096
29	give	2083
30	done	2009
31	monastic	1978
32	kinds	1977
33	like	1968
34	venerable	1902
35	people	1865
36	offense	1829
37	five	1817
38	six	1805
39	first	1781
40	go	1722
41	because	1703
42	made	1621
43	another	1587
44	many	1553
45	without	1548
46	teaching	1546
47	full	1538
48	four	1499
49	given	1493
50	bu	1488
