rank	word	count
1	one	10050
2	monks	7695
3	there	7404
4	monk	7346
5	sangha	4788
6	commits	4675
7	entailing	4354
8	buddha	3882
9	legal	3431
10	wrong	3305
11	conduct	3223
12	robe	3055
13	procedure	2682
14	rule	2654
15	time	2573
16	down	2403
17	nuns	2207
18	training	2190
19	confession	2162
20	two	2151
21	monastery	2097
22	nun	2086
23	three	2046
24	monastic	1925
25	done	1908
26	said	1873
27	give	1783
28	kinds	1768
29	offense	1765
30	see	1707
31	six	1636
32	like	1576
33	first	1552
34	having	1506
35	teaching	1480
36	bu	1447
37	five	1413
38	full	1399
39	kd	1365
40	without	1332
41	another	1332
42	given	1332
43	sp	1318
44	people	1302
45	group	1298
46	because	1298
47	finished	1270
48	venerable	1267
49	told	1246
50	while	1221
