rank	word	count	freq	log_rank	log_freq
1	the	12920	0.076886	0.0	-1.1142
2	of	7522	0.04476289	0.301	-1.3491
3	and	4307	0.02563065	0.4771	-1.5912
4	is	3827	0.0227742	0.6021	-1.6426
5	in	3311	0.01970352	0.699	-1.7055
6	to	2954	0.01757904	0.7782	-1.755
7	are	2329	0.01385971	0.8451	-1.8582
8	consciousness	2007	0.01194351	0.9031	-1.9229
9	as	1720	0.0102356	0.9542	-1.9899
10	by	1442	0.00858124	1.0	-2.0664
11	that	1359	0.00808731	1.0414	-2.0922
12	with	1239	0.0073732	1.0792	-2.1323
13	it	1205	0.00717087	1.1139	-2.1444
14	or	1053	0.00626633	1.1461	-2.203
15	one	1050	0.00624848	1.1761	-2.2042
16	this	843	0.00501663	1.2041	-2.2996
17	for	771	0.00458817	1.2304	-2.3384
18	which	752	0.0044751	1.2553	-2.3492
19	mental	742	0.00441559	1.2788	-2.355
20	they	732	0.00435608	1.301	-2.3609
21	object	715	0.00425491	1.3222	-2.3711
22	on	674	0.00401093	1.3424	-2.3968
23	mind	664	0.00395142	1.3617	-2.4032
24	be	660	0.00392761	1.3802	-2.4059
25	not	650	0.0038681	1.3979	-2.4125
26	from	647	0.00385025	1.415	-2.4145
27	types	634	0.00377289	1.4314	-2.4233
28	four	577	0.00343369	1.4472	-2.4642
29	cittas	577	0.00343369	1.4624	-2.4642
30	sense	547	0.00325516	1.4771	-2.4874
31	all	545	0.00324326	1.4914	-2.489
32	material	530	0.00315399	1.5051	-2.5011
33	there	530	0.00315399	1.5185	-2.5011
34	two	506	0.00301117	1.5315	-2.5213
35	these	504	0.00299927	1.5441	-2.523
36	an	499	0.00296951	1.5563	-2.5273
37	its	495	0.00294571	1.5682	-2.5308
38	three	488	0.00290405	1.5798	-2.537
39	states	485	0.0028862	1.5911	-2.5397
40	five	455	0.00270767	1.6021	-2.5674
41	matter	441	0.00262436	1.6128	-2.581
42	kamma	431	0.00256485	1.6232	-2.5909
43	he	397	0.00236252	1.6335	-2.6266
44	at	390	0.00232086	1.6435	-2.6344
45	abhidhamma	387	0.00230301	1.6532	-2.6377
46	called	381	0.0022673	1.6628	-2.6445
47	only	367	0.00218399	1.6721	-2.6607
48	arise	366	0.00217804	1.6812	-2.6619
49	their	356	0.00211853	1.6902	-2.674
50	factors	353	0.00210068	1.699	-2.6776
51	when	337	0.00200546	1.7076	-2.6978
52	but	334	0.00198761	1.716	-2.7017
53	feeling	331	0.00196976	1.7243	-2.7056
54	because	329	0.00195786	1.7324	-2.7082
55	sphere	327	0.00194595	1.7404	-2.7109
56	first	325	0.00193405	1.7482	-2.7135
57	citta	324	0.0019281	1.7559	-2.7149
58	knowledge	320	0.0019043	1.7634	-2.7203
59	door	318	0.0018924	1.7709	-2.723
60	so	311	0.00185074	1.7782	-2.7327
