rank	word	count	freq	log_rank	log_freq
1	the	94732	0.07141866	0.0	-1.1462
2	of	42622	0.03213282	0.301	-1.4931
3	and	38569	0.02907725	0.4771	-1.5364
4	to	29370	0.02214211	0.6021	-1.6548
5	is	26699	0.02012843	0.699	-1.6962
6	he	23609	0.01779888	0.7782	-1.7496
7	in	20500	0.015455	0.8451	-1.8109
8	it	17927	0.0135152	0.9031	-1.8692
9	for	14127	0.01065038	0.9542	-1.9726
10	one	14111	0.01063831	1.0	-1.9731
11	that	13025	0.00981958	1.0414	-2.0079
12	an	12797	0.00964769	1.0792	-2.0156
13	if	11683	0.00880784	1.1139	-2.0551
14	with	11406	0.00859901	1.1461	-2.0656
15	this	10933	0.00824241	1.1761	-2.0839
16	not	10684	0.00805469	1.2041	-2.094
17	monks	8552	0.00644737	1.2304	-2.1906
18	there	8502	0.00640968	1.2553	-2.1932
19	who	8317	0.0062702	1.2788	-2.2027
20	on	8314	0.00626794	1.301	-2.2029
21	you	8045	0.00606514	1.3222	-2.2172
22	as	7733	0.00582993	1.3424	-2.2343
23	monk	7648	0.00576584	1.3617	-2.2391
24	are	7622	0.00574624	1.3802	-2.2406
25	has	7309	0.00551027	1.3979	-2.2588
26	they	7099	0.00535195	1.415	-2.2715
27	be	7003	0.00527958	1.4314	-2.2774
28	should	6943	0.00523434	1.4472	-2.2811
29	or	6857	0.00516951	1.4624	-2.2866
30	by	6621	0.00499159	1.4771	-2.3018
31	from	6592	0.00496972	1.4914	-2.3037
32	was	6224	0.00469229	1.5051	-2.3286
33	when	6109	0.00460559	1.5185	-2.3367
34	at	5863	0.00442013	1.5315	-2.3546
35	then	5815	0.00438394	1.5441	-2.3581
36	his	5648	0.00425804	1.5563	-2.3708
37	buddha	4834	0.00364436	1.5682	-2.4384
38	commits	4817	0.00363155	1.5798	-2.4399
39	sangha	4789	0.00361044	1.5911	-2.4424
40	him	4684	0.00353128	1.6021	-2.4521
41	she	4545	0.00342649	1.6128	-2.4652
42	but	4524	0.00341065	1.6232	-2.4672
43	what	4469	0.00336919	1.6335	-2.4725
44	entailing	4354	0.00328249	1.6435	-2.4838
45	have	4192	0.00316036	1.6532	-2.5003
46	them	3808	0.00287086	1.6628	-2.542
47	so	3752	0.00282864	1.6721	-2.5484
48	do	3491	0.00263187	1.6812	-2.5797
49	legal	3431	0.00258664	1.6902	-2.5873
50	wrong	3352	0.00252708	1.699	-2.5974
51	conduct	3315	0.00249919	1.7076	-2.6022
52	robe	3304	0.00249089	1.716	-2.6036
53	had	3261	0.00245848	1.7243	-2.6093
54	time	3241	0.0024434	1.7324	-2.612
55	said	3132	0.00236122	1.7404	-2.6269
56	will	3126	0.0023567	1.7482	-2.6277
57	been	2932	0.00221044	1.7559	-2.6555
58	no	2919	0.00220064	1.7634	-2.6575
59	which	2761	0.00208152	1.7709	-2.6816
60	down	2700	0.00203554	1.7782	-2.6913
61	rule	2693	0.00203026	1.7853	-2.6924
62	procedure	2691	0.00202875	1.7924	-2.6928
63	those	2669	0.00201216	1.7993	-2.6963
64	two	2606	0.00196467	1.8062	-2.7067
65	how	2499	0.001884	1.8129	-2.7249
66	three	2477	0.00186742	1.8195	-2.7288
67	king	2470	0.00186214	1.8261	-2.73
68	were	2434	0.001835	1.8325	-2.7364
69	their	2339	0.00176338	1.8388	-2.7537
70	having	2276	0.00171588	1.8451	-2.7655
71	her	2270	0.00171136	1.8513	-2.7667
72	out	2266	0.00170834	1.8573	-2.7674
73	training	2258	0.00170231	1.8633	-2.769
74	see	2242	0.00169025	1.8692	-2.772
75	nuns	2216	0.00167065	1.8751	-2.7771
76	may	2210	0.00166612	1.8808	-2.7783
77	monastery	2193	0.00165331	1.8865	-2.7816
78	after	2193	0.00165331	1.8921	-2.7816
79	confession	2178	0.001642	1.8976	-2.7846
80	such	2177	0.00164125	1.9031	-2.7848
81	these	2145	0.00161712	1.9085	-2.7913
82	blessed	2121	0.00159903	1.9138	-2.7961
83	nun	2096	0.00158018	1.9191	-2.8013
84	about	2085	0.00157189	1.9243	-2.8036
85	give	2083	0.00157038	1.9294	-2.804
86	up	2069	0.00155982	1.9345	-2.8069
87	done	2009	0.00151459	1.9395	-2.8197
88	does	2002	0.00150931	1.9445	-2.8212
89	monastic	1978	0.00149122	1.9494	-2.8265
90	kinds	1977	0.00149046	1.9542	-2.8267
91	we	1976	0.00148971	1.959	-2.8269
92	like	1968	0.00148368	1.9638	-2.8287
93	other	1931	0.00145579	1.9685	-2.8369
94	venerable	1902	0.00143392	1.9731	-2.8435
95	did	1881	0.00141809	1.9777	-2.8483
96	people	1865	0.00140603	1.9823	-2.852
97	offense	1829	0.00137889	1.9868	-2.8605
98	five	1817	0.00136984	1.9912	-2.8633
99	six	1805	0.00136079	1.9956	-2.8662
100	through	1790	0.00134948	2.0	-2.8698
101	first	1781	0.0013427	2.0043	-2.872
102	all	1780	0.00134195	2.0086	-2.8723
103	my	1776	0.00133893	2.0128	-2.8732
104	go	1722	0.00129822	2.017	-2.8867
105	because	1703	0.0012839	2.0212	-2.8915
106	being	1700	0.00128163	2.0253	-2.8922
107	me	1655	0.00124771	2.0294	-2.9039
108	made	1621	0.00122208	2.0334	-2.9129
109	where	1595	0.00120247	2.0374	-2.9199
110	another	1587	0.00119644	2.0414	-2.9221
111	many	1553	0.00117081	2.0453	-2.9315
112	without	1548	0.00116704	2.0492	-2.9329
113	teaching	1546	0.00116553	2.0531	-2.9335
114	full	1538	0.0011595	2.0569	-2.9357
115	your	1536	0.00115799	2.0607	-2.9363
116	four	1499	0.0011301	2.0645	-2.9469
117	given	1493	0.00112558	2.0682	-2.9486
118	bu	1488	0.00112181	2.0719	-2.9501
119	body	1466	0.00110522	2.0755	-2.9566
120	also	1457	0.00109844	2.0792	-2.9592
121	while	1395	0.00105169	2.0828	-2.9781
122	great	1368	0.00103134	2.0864	-2.9866
123	kd	1365	0.00102908	2.0899	-2.9876
124	group	1348	0.00101626	2.0934	-2.993
125	went	1348	0.00101626	2.0969	-2.993
126	finished	1324	0.00099817	2.1004	-3.0008
127	sp	1318	0.00099364	2.1038	-3.0028
128	told	1317	0.00099289	2.1072	-3.0031
129	day	1309	0.00098686	2.1106	-3.0057
130	please	1301	0.00098083	2.1139	-3.0084
131	here	1280	0.00096499	2.1173	-3.0155
132	true	1269	0.0009567	2.1206	-3.0192
133	mind	1264	0.00095293	2.1239	-3.0209
134	can	1250	0.00094238	2.1271	-3.0258
135	rules	1241	0.00093559	2.1303	-3.0289
136	both	1229	0.00092655	2.1335	-3.0331
137	cloth	1222	0.00092127	2.1367	-3.0356
138	more	1203	0.00090694	2.1399	-3.0424
139	make	1189	0.00089639	2.143	-3.0475
140	any	1187	0.00089488	2.1461	-3.0482
141	same	1187	0.00089488	2.1492	-3.0482
142	water	1176	0.00088659	2.1523	-3.0523
143	well	1159	0.00087377	2.1553	-3.0586
144	way	1158	0.00087302	2.1584	-3.059
145	means	1150	0.00086699	2.1614	-3.062
146	ceremony	1146	0.00086397	2.1644	-3.0635
147	sir	1140	0.00085945	2.1673	-3.0658
148	story	1120	0.00084437	2.1703	-3.0735
149	food	1120	0.00084437	2.1732	-3.0735
150	committed	1117	0.00084211	2.1761	-3.0746
151	asked	1106	0.00083382	2.179	-3.0789
152	law	1105	0.00083306	2.1818	-3.0793
153	back	1096	0.00082628	2.1847	-3.0829
154	just	1094	0.00082477	2.1875	-3.0837
155	man	1093	0.00082402	2.1903	-3.0841
156	offence	1091	0.00082251	2.1931	-3.0849
157	ask	1090	0.00082175	2.1959	-3.0853
158	saying	1082	0.00081572	2.1987	-3.0885
159	life	1069	0.00080592	2.2014	-3.0937
160	than	1066	0.00080366	2.2041	-3.0949
161	together	1063	0.0008014	2.2068	-3.0962
162	now	1049	0.00079084	2.2095	-3.1019
163	brahmin	1045	0.00078783	2.2122	-3.1036
164	non	1039	0.0007833	2.2148	-3.1061
165	suspension	1032	0.00077803	2.2175	-3.109
166	know	1015	0.00076521	2.2201	-3.1162
167	would	996	0.00075089	2.2227	-3.1244
168	making	995	0.00075013	2.2253	-3.1249
169	right	982	0.00074033	2.2279	-3.1306
170	pc	978	0.00073732	2.2304	-3.1323
171	expulsion	964	0.00072676	2.233	-3.1386
172	good	958	0.00072224	2.2355	-3.1413
173	woman	951	0.00071696	2.238	-3.1445
174	some	950	0.00071621	2.2405	-3.145
175	away	948	0.0007147	2.243	-3.1459
176	according	945	0.00071244	2.2455	-3.1473
177	second	941	0.00070942	2.248	-3.1491
178	face	939	0.00070791	2.2504	-3.15
179	say	932	0.00070264	2.2529	-3.1533
180	against	923	0.00069585	2.2553	-3.1575
181	says	919	0.00069284	2.2577	-3.1594
182	seven	911	0.0006868	2.2601	-3.1632
183	into	908	0.00068454	2.2625	-3.1646
184	person	907	0.00068379	2.2648	-3.1651
185	assembly	898	0.000677	2.2672	-3.1694
186	fully	895	0.00067474	2.2695	-3.1709
187	only	887	0.00066871	2.2718	-3.1748
188	number	882	0.00066494	2.2742	-3.1772
189	thought	882	0.00066494	2.2765	-3.1772
190	bowl	878	0.00066193	2.2788	-3.1792
191	certain	871	0.00065665	2.281	-3.1827
192	someone	870	0.00065589	2.2833	-3.1832
193	ordination	868	0.00065439	2.2856	-3.1842
194	thus	865	0.00065213	2.2878	-3.1857
195	speech	863	0.00065062	2.29	-3.1867
196	robes	861	0.00064911	2.2923	-3.1877
197	too	858	0.00064685	2.2945	-3.1892
198	place	853	0.00064308	2.2967	-3.1917
199	over	848	0.00063931	2.2989	-3.1943
200	heard	847	0.00063856	2.301	-3.1948
