rank	word	count	freq	log_rank	log_freq
1	the	69963	0.06807534	0.0	-1.167
2	of	32320	0.03144798	0.301	-1.5024
3	and	28500	0.02773105	0.4771	-1.557
4	is	23263	0.02263534	0.6021	-1.6452
5	to	22919	0.02230063	0.699	-1.6517
6	he	20392	0.01984181	0.7782	-1.7024
7	it	16188	0.01575123	0.8451	-1.8027
8	in	14603	0.014209	0.9031	-1.8474
9	for	12084	0.01175796	0.9542	-1.9297
10	an	11998	0.01167428	1.0	-1.9328
11	if	10625	0.01033833	1.0414	-1.9855
12	that	10244	0.00996761	1.0792	-2.0014
13	one	10050	0.00977884	1.1139	-2.0097
14	with	8872	0.00863263	1.1461	-2.0639
15	not	8812	0.00857424	1.1761	-2.0668
16	this	8640	0.00840689	1.2041	-2.0754
17	monks	7695	0.00748738	1.2304	-2.1257
18	there	7404	0.00720423	1.2553	-2.1424
19	monk	7346	0.0071478	1.2788	-2.1458
20	on	7123	0.00693082	1.301	-2.1592
21	who	6429	0.00625554	1.3222	-2.2037
22	has	6351	0.00617964	1.3424	-2.209
23	as	6218	0.00605023	1.3617	-2.2182
24	should	6147	0.00598115	1.3802	-2.2232
25	are	6145	0.0059792	1.3979	-2.2234
26	or	6057	0.00589358	1.415	-2.2296
27	they	5846	0.00568827	1.4314	-2.245
28	be	5831	0.00567367	1.4472	-2.2461
29	you	5818	0.00566103	1.4624	-2.2471
30	by	5069	0.00493223	1.4771	-2.307
31	from	5046	0.00490985	1.4914	-2.3089
32	at	4857	0.00472595	1.5051	-2.3255
33	sangha	4788	0.00465882	1.5185	-2.3317
34	when	4755	0.00462671	1.5315	-2.3347
35	commits	4675	0.00454886	1.5441	-2.3421
36	then	4483	0.00436204	1.5563	-2.3603
37	entailing	4354	0.00423653	1.5682	-2.373
38	she	4184	0.00407111	1.5798	-2.3903
39	was	4153	0.00404095	1.5911	-2.3935
40	but	4084	0.00397381	1.6021	-2.4008
41	buddha	3882	0.00377726	1.6128	-2.4228
42	what	3715	0.00361477	1.6232	-2.4419
43	him	3709	0.00360893	1.6335	-2.4426
44	his	3465	0.00337151	1.6435	-2.4722
45	legal	3431	0.00333843	1.6532	-2.4765
46	wrong	3305	0.00321583	1.6628	-2.4927
47	conduct	3223	0.00313604	1.6721	-2.5036
48	so	3205	0.00311853	1.6812	-2.5061
49	them	3102	0.00301831	1.6902	-2.5202
50	robe	3055	0.00297257	1.699	-2.5269
51	have	2922	0.00284316	1.7076	-2.5462
52	procedure	2682	0.00260964	1.716	-2.5834
53	rule	2654	0.00258239	1.7243	-2.588
54	do	2629	0.00255807	1.7324	-2.5921
55	time	2573	0.00250358	1.7404	-2.6014
56	down	2403	0.00233817	1.7482	-2.6311
57	been	2403	0.00233817	1.7559	-2.6311
58	no	2330	0.00226713	1.7634	-2.6445
59	how	2315	0.00225254	1.7709	-2.6473
60	nuns	2207	0.00214745	1.7782	-2.6681
61	had	2195	0.00213578	1.7853	-2.6704
62	training	2190	0.00213091	1.7924	-2.6714
63	confession	2162	0.00210367	1.7993	-2.677
64	those	2161	0.00210269	1.8062	-2.6772
65	two	2151	0.00209296	1.8129	-2.6792
66	monastery	2097	0.00204042	1.8195	-2.6903
67	which	2086	0.00202972	1.8261	-2.6926
68	nun	2086	0.00202972	1.8325	-2.6926
69	three	2046	0.0019908	1.8388	-2.701
70	her	1945	0.00189252	1.8451	-2.723
71	monastic	1925	0.00187306	1.8513	-2.7274
72	done	1908	0.00185652	1.8573	-2.7313
73	out	1885	0.00183414	1.8633	-2.7366
74	said	1873	0.00182246	1.8692	-2.7393
75	about	1818	0.00176895	1.8751	-2.7523
76	such	1800	0.00175143	1.8808	-2.7566
77	up	1800	0.00175143	1.8865	-2.7566
78	may	1785	0.00173684	1.8921	-2.7602
79	give	1783	0.00173489	1.8976	-2.7607
80	will	1777	0.00172906	1.9031	-2.7622
81	kinds	1768	0.0017203	1.9085	-2.7644
82	offense	1765	0.00171738	1.9138	-2.7651
83	were	1730	0.00168332	1.9191	-2.7738
84	does	1721	0.00167457	1.9243	-2.7761
85	their	1719	0.00167262	1.9294	-2.7766
86	see	1707	0.00166094	1.9345	-2.7796
87	six	1636	0.00159186	1.9395	-2.7981
88	after	1608	0.00156461	1.9445	-2.8056
89	these	1607	0.00156364	1.9494	-2.8059
90	like	1576	0.00153348	1.9542	-2.8143
91	first	1552	0.00151013	1.959	-2.821
92	through	1520	0.00147899	1.9638	-2.83
93	having	1506	0.00146537	1.9685	-2.8341
94	we	1503	0.00146245	1.9731	-2.8349
95	other	1500	0.00145953	1.9777	-2.8358
96	teaching	1480	0.00144007	1.9823	-2.8416
97	bu	1447	0.00140796	1.9868	-2.8514
98	five	1413	0.00137488	1.9912	-2.8617
99	being	1402	0.00136417	1.9956	-2.8651
100	full	1399	0.00136125	2.0	-2.8661
101	kd	1365	0.00132817	2.0043	-2.8767
102	did	1357	0.00132039	2.0086	-2.8793
103	without	1332	0.00129606	2.0128	-2.8874
104	another	1332	0.00129606	2.017	-2.8874
105	given	1332	0.00129606	2.0212	-2.8874
106	where	1323	0.0012873	2.0253	-2.8903
107	sp	1318	0.00128244	2.0294	-2.892
108	people	1302	0.00126687	2.0334	-2.8973
109	group	1298	0.00126298	2.0374	-2.8986
110	because	1298	0.00126298	2.0414	-2.8986
111	finished	1270	0.00123573	2.0453	-2.9081
112	venerable	1267	0.00123282	2.0492	-2.9091
113	told	1246	0.00121238	2.0531	-2.9164
114	all	1237	0.00120362	2.0569	-2.9195
115	while	1221	0.00118806	2.0607	-2.9252
116	many	1208	0.00117541	2.0645	-2.9298
117	go	1191	0.00115887	2.0682	-2.936
118	true	1181	0.00114914	2.0719	-2.9396
119	body	1180	0.00114816	2.0755	-2.94
120	day	1162	0.00113065	2.0792	-2.9467
121	rules	1161	0.00112968	2.0828	-2.947
122	made	1143	0.00111216	2.0864	-2.9538
123	cloth	1141	0.00111021	2.0899	-2.9546
124	ceremony	1140	0.00110924	2.0934	-2.955
125	both	1112	0.001082	2.0969	-2.9658
126	more	1098	0.00106838	2.1004	-2.9713
127	offence	1090	0.00106059	2.1038	-2.9745
128	committed	1066	0.00103724	2.1072	-2.9841
129	sir	1054	0.00102556	2.1106	-2.989
130	can	1051	0.00102264	2.1139	-2.9903
131	means	1042	0.00101389	2.1173	-2.994
132	same	1042	0.00101389	2.1206	-2.994
133	me	1041	0.00101291	2.1239	-2.9944
134	suspension	1032	0.00100416	2.1271	-2.9982
135	way	1025	0.00099734	2.1303	-3.0012
136	four	1024	0.00099637	2.1335	-3.0016
137	law	1010	0.00098275	2.1367	-3.0076
138	non	1001	0.00097399	2.1399	-3.0114
139	saying	1001	0.00097399	2.143	-3.0114
140	also	990	0.00096329	2.1461	-3.0162
141	please	988	0.00096134	2.1492	-3.0171
142	pc	978	0.00095161	2.1523	-3.0215
143	than	975	0.00094869	2.1553	-3.0229
144	ask	966	0.00093994	2.1584	-3.0269
145	expulsion	964	0.00093799	2.1614	-3.0278
146	make	961	0.00093507	2.1644	-3.0292
147	back	952	0.00092631	2.1673	-3.0332
148	any	948	0.00092242	2.1703	-3.0351
149	making	934	0.0009088	2.1732	-3.0415
150	well	890	0.00086599	2.1761	-3.0625
151	water	889	0.00086501	2.179	-3.063
152	against	886	0.00086209	2.1818	-3.0644
153	here	876	0.00085236	2.1847	-3.0694
154	just	876	0.00085236	2.1875	-3.0694
155	face	865	0.00084166	2.1903	-3.0749
156	together	859	0.00083582	2.1931	-3.0779
157	according	858	0.00083485	2.1959	-3.0784
158	right	855	0.00083193	2.1987	-3.0799
159	mind	854	0.00083096	2.2014	-3.0804
160	ordination	849	0.00082609	2.2041	-3.083
161	second	839	0.00081636	2.2068	-3.0881
162	speech	837	0.00081442	2.2095	-3.0892
163	man	829	0.00080663	2.2122	-3.0933
164	laid	828	0.00080566	2.2148	-3.0938
165	says	827	0.00080469	2.2175	-3.0944
166	woman	824	0.00080177	2.2201	-3.096
167	season	813	0.00079106	2.2227	-3.1018
168	issue	812	0.00079009	2.2253	-3.1023
169	know	809	0.00078717	2.2279	-3.1039
170	perceives	802	0.00078036	2.2304	-3.1077
171	say	795	0.00077355	2.233	-3.1115
